,Tuple,Count,Start X,Start Y,End X,End Y
33764,"(40.73974, -74.00253, 40.74015, -74.00224)",1318,40.73974,-74.00253,40.74015,-74.00224
33765,"(40.75421, -73.99825, 40.7543, -73.99846)",19,40.75421,-73.99825,40.7543,-73.99846
33766,"(40.69076, -73.98348, 40.69034, -73.98351)",1,40.69076,-73.98348,40.69034,-73.98351
33767,"(40.76064, -73.96439, 40.76064, -73.96435)",21,40.76064,-73.96439,40.76064,-73.96435
33768,"(40.75865, -73.98136, 40.75884, -73.98181)",124,40.75865,-73.98136,40.75884,-73.98181
33769,"(40.7054, -74.00828, 40.70537, -74.00849)",16,40.7054,-74.00828,40.70537,-74.00849
33770,"(40.71477, -73.9495, 40.71547, -73.94962)",33,40.71477,-73.9495,40.71547,-73.94962
33771,"(40.7296, -73.99327, 40.7296, -73.99327)",2,40.7296,-73.99327,40.7296,-73.99327
33772,"(40.74422, -73.97121, 40.74417, -73.97124)",82,40.74422,-73.97121,40.74417,-73.97124
33773,"(40.7475, -73.99016, 40.74792, -73.99117)",152,40.7475,-73.99016,40.74792,-73.99117
33774,"(40.7406, -74.00948, 40.74055, -74.00951)",1225,40.7406,-74.00948,40.74055,-74.00951
33775,"(40.72459, -73.99572, 40.72472, -73.99561)",215,40.72459,-73.99572,40.72472,-73.99561
33776,"(40.70955, -74.014, 40.70975, -74.01444)",7,40.70955,-74.014,40.70975,-74.01444
33777,"(40.72153, -73.9976, 40.72149, -73.99749)",2,40.72153,-73.9976,40.72149,-73.99749
33778,"(40.7148, -74.01618, 40.71463, -74.01631)",10,40.7148,-74.01618,40.71463,-74.01631
33779,"(40.75434, -73.98691, 40.75505, -73.98668)",327,40.75434,-73.98691,40.75505,-73.98668
33780,"(40.71603, -74.00883, 40.71579, -74.00902)",155,40.71603,-74.00883,40.71579,-74.00902
33781,"(40.76524, -73.97306, 40.76523, -73.97306)",36,40.76524,-73.97306,40.76523,-73.97306
33782,"(40.76068, -73.96453, 40.76156, -73.9666)",1,40.76068,-73.96453,40.76156,-73.9666
33783,"(40.71575, -73.98682, 40.71578, -73.9868)",175,40.71575,-73.98682,40.71578,-73.9868
33784,"(40.74181, -73.95188, 40.74169, -73.95192)",120,40.74181,-73.95188,40.74169,-73.95192
33785,"(40.71138, -73.99682, 40.71138, -73.99682)",4,40.71138,-73.99682,40.71138,-73.99682
33786,"(40.77116, -73.97966, 40.7708, -73.97992)",181,40.77116,-73.97966,40.7708,-73.97992
33787,"(40.72433, -73.94908, 40.726, -73.95003)",11,40.72433,-73.94908,40.726,-73.95003
33788,"(40.70289, -73.99456, 40.70292, -73.99466)",4,40.70289,-73.99456,40.70292,-73.99466
33789,"(40.72059, -74.00831, 40.72057, -74.00806)",44,40.72059,-74.00831,40.72057,-74.00806
33790,"(40.78571, -73.98474, 40.78569, -73.98474)",4,40.78571,-73.98474,40.78569,-73.98474
33791,"(40.71446, -73.99132, 40.71447, -73.9913)",1,40.71446,-73.99132,40.71447,-73.9913
33792,"(40.71195, -74.0064, 40.71198, -74.00623)",29,40.71195,-74.0064,40.71198,-74.00623
33793,"(40.76745, -73.97808, 40.76738, -73.9779)",75,40.76745,-73.97808,40.76738,-73.9779
33794,"(40.6931, -73.96905, 40.69314, -73.96983)",2,40.6931,-73.96905,40.69314,-73.96983
33795,"(40.71193, -73.98987, 40.71176, -73.99193)",10,40.71193,-73.98987,40.71176,-73.99193
33796,"(40.69156, -73.96954, 40.6916, -73.97056)",37,40.69156,-73.96954,40.6916,-73.97056
33797,"(40.73317, -74.01016, 40.73379, -74.0101)",16,40.73317,-74.01016,40.73379,-74.0101
33798,"(40.73737, -73.99684, 40.73856, -73.99968)",23,40.73737,-73.99684,40.73856,-73.99968
33799,"(40.70852, -73.99893, 40.70849, -73.99903)",2,40.70852,-73.99893,40.70849,-73.99903
33800,"(40.77622, -73.97597, 40.77553, -73.97646)",143,40.77622,-73.97597,40.77553,-73.97646
33801,"(40.71182, -73.96539, 40.71173, -73.9651)",99,40.71182,-73.96539,40.71173,-73.9651
33802,"(40.69656, -73.98056, 40.69665, -73.9808)",1,40.69656,-73.98056,40.69665,-73.9808
33803,"(40.7029, -74.01171, 40.70291, -74.01166)",62,40.7029,-74.01171,40.70291,-74.01166
33804,"(40.7484, -74.00764, 40.74834, -74.00763)",11,40.7484,-74.00764,40.74834,-74.00763
33805,"(40.70321, -74.01304, 40.70308, -74.01301)",1,40.70321,-74.01304,40.70308,-74.01301
33806,"(40.74285, -73.9721, 40.74274, -73.97215)",208,40.74285,-73.9721,40.74274,-73.97215
33807,"(40.76373, -73.99622, 40.76401, -73.99602)",29,40.76373,-73.99622,40.76401,-73.99602
33808,"(40.72236, -73.97433, 40.72225, -73.97437)",1,40.72236,-73.97433,40.72225,-73.97437
33809,"(40.74847, -74.00805, 40.74848, -74.00807)",771,40.74847,-74.00805,40.74848,-74.00807
